creative,uid,length,music0_mturk,music1_mturk,music2_mturk,music3_mturk,music4_mturk,music1_pred,music2_pred,music3_pred,music4_pred
GOV/NM MARTINEZ TAX INCREASE,NNwJAO-81B0,30,0,1,1,0,1,1,1,0,1
GOV/NM MARTINEZ TAX INCREASE,NNwJAO-81B0,30,0,1,1,0,1,1,1,0,1
GOV/NM MARTINEZ TAX INCREASE,NNwJAO-81B0,30,0,1,0,0,1,1,1,0,1
GOV/NM MARTINEZ TAX INCREASE,NNwJAO-81B0,30,0,1,0,0,1,1,1,0,1
GOV/NY ASTORINO FALSE NEGATIVE TV ADS,v2QuEGeZYk0,30,0,1,1,0,1,0,1,1,0
GOV/NY ASTORINO FALSE NEGATIVE TV ADS,v2QuEGeZYk0,30,0,1,0,0,1,0,1,1,0
GOV/NY ASTORINO FALSE NEGATIVE TV ADS,v2QuEGeZYk0,30,0,0,0,1,1,0,1,1,0
GOV/NY ASTORINO FALSE NEGATIVE TV ADS,v2QuEGeZYk0,30,0,1,1,0,1,0,1,1,0
GOV/NY ASTORINO FALSE NEGATIVE TV ADS,v2QuEGeZYk0,30,0,0,0,1,1,0,1,1,0
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,O5Y78KSFpF8,30,0,0,1,0,0,0,1,0,0
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,O5Y78KSFpF8,30,0,0,1,0,0,0,1,0,0
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,O5Y78KSFpF8,30,0,0,1,0,0,0,1,0,0
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,O5Y78KSFpF8,30,0,0,1,0,0,0,1,0,0
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,O5Y78KSFpF8,30,0,0,1,0,0,0,1,0,0
GOV/NY CUOMO&HOCHUL THE GIFT,7h1udeoO3rg,30,0,0,1,0,0,0,1,0,0
GOV/NY CUOMO&HOCHUL THE GIFT,7h1udeoO3rg,30,0,0,1,0,0,0,1,0,0
GOV/NY CUOMO&HOCHUL THE GIFT,7h1udeoO3rg,30,0,0,1,0,0,0,1,0,0
GOV/NY CUOMO&HOCHUL THE GIFT,7h1udeoO3rg,30,0,0,1,0,0,0,1,0,0
GOV/NY CUOMO&HOCHUL THE GIFT,7h1udeoO3rg,30,0,0,0,1,1,0,1,0,0
GOV/OH FITZGERALD KASICH'S WAY,_tdzreLMQt0,30,0,0,1,1,1,1,1,0,1
GOV/OH FITZGERALD KASICH'S WAY,_tdzreLMQt0,30,0,0,0,1,1,1,1,0,1
GOV/OH FITZGERALD KASICH'S WAY,_tdzreLMQt0,30,0,1,1,0,1,1,1,0,1
GOV/OH FITZGERALD KASICH'S WAY,_tdzreLMQt0,30,0,0,1,1,1,1,1,0,1
GOV/OH FITZGERALD KASICH'S WAY,_tdzreLMQt0,30,0,1,1,0,1,1,1,0,1
GOV/OH FITZGERALD PROMISE OF OHIO,AYIyvG1lUPA,30,0,0,1,0,0,0,1,0,0
GOV/OH FITZGERALD PROMISE OF OHIO,AYIyvG1lUPA,30,0,0,1,0,0,0,1,0,0
GOV/OH FITZGERALD PROMISE OF OHIO,AYIyvG1lUPA,30,0,0,1,0,0,0,1,0,0
GOV/OH FITZGERALD PROMISE OF OHIO,AYIyvG1lUPA,30,0,0,1,0,0,0,1,0,0
GOV/OH FITZGERALD PROMISE OF OHIO,AYIyvG1lUPA,30,0,0,1,0,0,0,1,0,0
GOV/OH KASICH MY FATHER,bmPqU8omZbs,30,0,0,0,1,1,0,1,1,0
GOV/OH KASICH MY FATHER,bmPqU8omZbs,30,0,0,1,0,0,0,1,1,0
GOV/OH KASICH MY FATHER,bmPqU8omZbs,30,0,0,1,0,0,0,1,1,0
GOV/OH KASICH MY FATHER,bmPqU8omZbs,30,0,0,0,1,1,0,1,1,0
GOV/OH KASICH MY FATHER,bmPqU8omZbs,30,0,0,1,1,1,0,1,1,0
GOV/OH KASICH&TAYLOR COMING BACK,ybIGPv7L0nY,30,0,0,1,0,0,0,1,0,0
GOV/OH KASICH&TAYLOR COMING BACK,ybIGPv7L0nY,30,0,0,1,0,0,0,1,0,0
GOV/OH KASICH&TAYLOR COMING BACK,ybIGPv7L0nY,30,0,0,1,0,0,0,1,0,0
GOV/OH KASICH&TAYLOR COMING BACK,ybIGPv7L0nY,30,0,0,1,0,0,0,1,0,0
GOV/OH KASICH&TAYLOR COMING BACK,ybIGPv7L0nY,30,0,0,1,0,0,0,1,0,0
GOV/OR KITZHABER MORE WE KNOW,b_5MxIAThDA,30,0,1,0,0,1,1,1,0,1
GOV/OR KITZHABER MORE WE KNOW,b_5MxIAThDA,30,0,1,0,0,1,1,1,0,1
GOV/OR KITZHABER MORE WE KNOW,b_5MxIAThDA,30,0,1,0,0,1,1,1,0,1
GOV/OR KITZHABER MORE WE KNOW,b_5MxIAThDA,30,0,1,0,0,1,1,1,0,1
GOV/OR KITZHABER MORE WE KNOW,b_5MxIAThDA,30,0,1,0,0,1,1,1,0,1
GOV/OR KITZHABER NEWSPAPERS AGREE,FDv_JEQCvZ8,30,0,1,1,0,1,1,1,0,1
GOV/OR KITZHABER NEWSPAPERS AGREE,FDv_JEQCvZ8,30,0,0,1,0,0,1,1,0,1
GOV/OR KITZHABER NEWSPAPERS AGREE,FDv_JEQCvZ8,30,0,1,1,0,1,1,1,0,1
GOV/OR KITZHABER NEWSPAPERS AGREE,FDv_JEQCvZ8,30,0,1,1,0,1,1,1,0,1
GOV/OR KITZHABER NEWSPAPERS AGREE,FDv_JEQCvZ8,30,0,0,1,0,0,1,1,0,1
GOV/OR KITZHABER TREMENDOUS POTENTIAL,w512vk6gLXg,30,0,0,1,0,0,1,1,0,1
GOV/OR KITZHABER TREMENDOUS POTENTIAL,w512vk6gLXg,30,0,0,1,0,0,1,1,0,1
GOV/OR KITZHABER TREMENDOUS POTENTIAL,w512vk6gLXg,30,0,0,1,0,0,1,1,0,1
GOV/OR KITZHABER TREMENDOUS POTENTIAL,w512vk6gLXg,30,0,0,1,0,0,1,1,0,1
GOV/OR KITZHABER TREMENDOUS POTENTIAL,w512vk6gLXg,30,0,0,1,0,0,1,1,0,1
GOV/RI FUNG BANKROLLED BY WALLSTREET,x3V_Vyy6HfQ,30,0,1,0,0,1,1,1,0,1
GOV/RI FUNG BANKROLLED BY WALLSTREET,x3V_Vyy6HfQ,30,0,1,0,0,1,1,1,0,1
GOV/RI FUNG BANKROLLED BY WALLSTREET,x3V_Vyy6HfQ,30,0,1,0,0,1,1,1,0,1
GOV/RI FUNG BANKROLLED BY WALLSTREET,x3V_Vyy6HfQ,30,0,1,0,0,1,1,1,0,1
GOV/RI FUNG BANKROLLED BY WALLSTREET,x3V_Vyy6HfQ,30,0,1,0,0,1,1,1,0,1
GOV/SC HALEY HUSBAND,sZrMoKn06EM,30,0,0,1,0,0,0,1,1,0
GOV/SC HALEY HUSBAND,sZrMoKn06EM,30,0,0,1,0,0,0,1,1,0
GOV/SC HALEY HUSBAND,sZrMoKn06EM,30,0,1,1,0,1,0,1,1,0
GOV/SC HALEY HUSBAND,sZrMoKn06EM,30,0,0,1,1,1,0,1,1,0
GOV/SC HALEY HUSBAND,sZrMoKn06EM,30,0,0,0,1,1,0,1,1,0
GOV/TX ABBOTT EVERY WEEK,4kKt5vqkotE,30,0,0,1,0,0,0,1,0,0
GOV/TX ABBOTT EVERY WEEK,4kKt5vqkotE,30,0,0,1,0,0,0,1,0,0
GOV/TX ABBOTT EVERY WEEK,4kKt5vqkotE,30,0,0,1,0,0,0,1,0,0
GOV/TX ABBOTT EVERY WEEK,4kKt5vqkotE,30,0,0,1,0,0,0,1,0,0
GOV/TX ABBOTT EVERY WEEK,4kKt5vqkotE,30,0,0,1,0,0,0,1,0,0
GOV/TX ABBOTT MARY PHALEN,kUF9bGLdnEc,30,0,0,1,0,0,0,1,1,0
GOV/TX ABBOTT MARY PHALEN,kUF9bGLdnEc,30,0,0,1,0,0,0,1,1,0
GOV/TX ABBOTT MARY PHALEN,kUF9bGLdnEc,30,0,0,1,0,0,0,1,1,0
GOV/TX ABBOTT MARY PHALEN,kUF9bGLdnEc,30,0,0,1,0,0,0,1,1,0
GOV/TX ABBOTT MARY PHALEN,kUF9bGLdnEc,30,0,0,0,1,1,0,1,1,0
GOV/TX ABBOTT TRAFFIC,VYEYP8fjBFQ,30,0,0,1,0,0,0,1,0,0
GOV/TX ABBOTT TRAFFIC,VYEYP8fjBFQ,30,0,0,1,0,0,0,1,0,0
GOV/TX ABBOTT TRAFFIC,VYEYP8fjBFQ,30,0,0,1,0,0,0,1,0,0
GOV/TX ABBOTT TRAFFIC,VYEYP8fjBFQ,30,0,0,1,0,0,0,1,0,0
GOV/TX ABBOTT TRAFFIC,VYEYP8fjBFQ,30,0,0,1,0,0,0,1,0,0
GOV/TX DAVIS EDUCATION LED ME,qg3OMTjYTc0,30,0,0,1,0,0,0,1,1,1
GOV/TX DAVIS EDUCATION LED ME,qg3OMTjYTc0,30,0,0,1,0,0,0,1,1,1
GOV/TX DAVIS EDUCATION LED ME,qg3OMTjYTc0,30,0,0,1,0,0,0,1,1,1
GOV/TX DAVIS EDUCATION LED ME,qg3OMTjYTc0,30,0,0,1,0,0,0,1,1,1
GOV/TX DAVIS EDUCATION LED ME,qg3OMTjYTc0,30,0,0,0,1,1,0,1,1,1
GOV/TX DAVIS MARCH 26 60,EV3aMuXsOVQ,60,0,0,0,1,1,0,0,1,1
GOV/TX DAVIS MARCH 26 60,EV3aMuXsOVQ,60,0,1,0,1,1,0,0,1,1
GOV/TX DAVIS MARCH 26 60,EV3aMuXsOVQ,60,0,1,0,0,1,0,0,1,1
GOV/TX DAVIS MARCH 26 60,EV3aMuXsOVQ,60,0,0,0,1,1,0,0,1,1
GOV/TX DAVIS MARCH 26 60,EV3aMuXsOVQ,60,0,0,0,1,1,0,0,1,1
GOV/UT HERBERT PUT UTAHNS TO WORK,5cfqt2OWi-w,30,0,0,1,0,0,0,1,1,0
GOV/UT HERBERT PUT UTAHNS TO WORK,5cfqt2OWi-w,30,0,0,1,0,0,0,1,1,0
GOV/UT HERBERT PUT UTAHNS TO WORK,5cfqt2OWi-w,30,0,0,1,0,0,0,1,1,0
GOV/UT HERBERT PUT UTAHNS TO WORK,5cfqt2OWi-w,30,0,0,1,0,0,0,1,1,0
GOV/UT HERBERT PUT UTAHNS TO WORK,5cfqt2OWi-w,30,0,0,1,0,0,0,1,1,0
GOV/VA CUCCINELLI BIG DIFFERENCES,AmwNLc7dFQk,30,0,1,0,0,1,1,1,0,1
GOV/VA CUCCINELLI BIG DIFFERENCES,AmwNLc7dFQk,30,0,1,1,0,1,1,1,0,1
GOV/VA CUCCINELLI BIG DIFFERENCES,AmwNLc7dFQk,30,0,1,0,0,1,1,1,0,1
GOV/VA CUCCINELLI BIG DIFFERENCES,AmwNLc7dFQk,30,0,1,0,0,1,1,1,0,1
GOV/VA CUCCINELLI BIG DIFFERENCES,AmwNLc7dFQk,30,0,1,0,0,1,1,1,0,1
GOV/VA CUCCINELLI FEDERAL INVESTIGATIONS,kS6hVjvGJag,30,0,1,0,0,1,1,0,0,1
GOV/VA CUCCINELLI FEDERAL INVESTIGATIONS,kS6hVjvGJag,30,0,1,0,0,1,1,0,0,1
GOV/VA CUCCINELLI FEDERAL INVESTIGATIONS,kS6hVjvGJag,30,0,1,0,0,1,1,0,0,1
GOV/VA CUCCINELLI FEDERAL INVESTIGATIONS,kS6hVjvGJag,30,0,1,0,0,1,1,0,0,1
GOV/VA CUCCINELLI FEDERAL INVESTIGATIONS,kS6hVjvGJag,30,0,1,0,0,1,1,0,0,1
GOV/VA CUCCINELLI NEW LOW,YxHytvYS6MA,30,0,1,0,0,1,0,1,0,1
GOV/VA CUCCINELLI NEW LOW,YxHytvYS6MA,30,0,0,0,1,1,0,1,0,1
GOV/VA CUCCINELLI NEW LOW,YxHytvYS6MA,30,0,1,0,0,1,0,1,0,1
GOV/VA CUCCINELLI NEW LOW,YxHytvYS6MA,30,0,1,0,0,1,0,1,0,1
GOV/VA CUCCINELLI NEW LOW,YxHytvYS6MA,30,0,1,0,0,1,0,1,0,1
GOV/VA CUCCINELLI OPPORTUNITY,-DbFa8VZyk0,30,0,0,1,0,0,1,1,0,0
GOV/VA CUCCINELLI OPPORTUNITY,-DbFa8VZyk0,30,0,0,0,1,1,1,1,0,0
GOV/VA CUCCINELLI OPPORTUNITY,-DbFa8VZyk0,30,0,0,1,1,1,1,1,0,0
GOV/VA CUCCINELLI OPPORTUNITY,-DbFa8VZyk0,30,0,0,0,1,1,1,1,0,0
GOV/VA CUCCINELLI OPPORTUNITY,-DbFa8VZyk0,30,0,1,0,0,1,1,1,0,0
GOV/VA CUCCINELLI TICHI,r6vj_wP7QyA,30,0,0,0,1,1,0,1,1,1
GOV/VA CUCCINELLI TICHI,r6vj_wP7QyA,30,0,0,1,1,1,0,1,1,1
GOV/VA CUCCINELLI TICHI,r6vj_wP7QyA,30,0,0,0,1,1,0,1,1,1
GOV/VA CUCCINELLI TICHI,r6vj_wP7QyA,30,0,0,1,0,0,0,1,1,1
GOV/VA CUCCINELLI TICHI,r6vj_wP7QyA,30,0,1,0,0,1,0,1,1,1
GOV/VA CUCCINELLI WAR ON COAL REV,ohkdt-Uhxn8,30,1,0,0,0,0,1,1,0,1
GOV/VA CUCCINELLI WAR ON COAL REV,ohkdt-Uhxn8,30,0,1,0,0,1,1,1,0,1
GOV/VA CUCCINELLI WAR ON COAL REV,ohkdt-Uhxn8,30,0,1,0,0,1,1,1,0,1
GOV/VA CUCCINELLI WAR ON COAL REV,ohkdt-Uhxn8,30,0,1,0,0,1,1,1,0,1
GOV/VA CUCCINELLI WAR ON COAL REV,ohkdt-Uhxn8,30,0,1,0,0,1,1,1,0,1
GOV/VA MCAULIFFE EXTREME AGENDA,eh4mPUhan70,30,0,1,0,0,1,1,1,0,1
GOV/VA MCAULIFFE EXTREME AGENDA,eh4mPUhan70,30,0,1,0,0,1,1,1,0,1
GOV/VA MCAULIFFE EXTREME AGENDA,eh4mPUhan70,30,0,1,0,0,1,1,1,0,1
GOV/VA MCAULIFFE EXTREME AGENDA,eh4mPUhan70,30,0,1,0,0,1,1,1,0,1
GOV/VA MCAULIFFE EXTREME AGENDA,eh4mPUhan70,30,0,1,0,1,1,1,1,0,1
GOV/VA MCAULIFFE FOCUS,aVa6k3PRl5Q,30,0,0,0,1,1,0,1,0,0
GOV/VA MCAULIFFE FOCUS,aVa6k3PRl5Q,30,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE FOCUS,aVa6k3PRl5Q,30,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE FOCUS,aVa6k3PRl5Q,30,0,0,0,1,1,0,1,0,0
GOV/VA MCAULIFFE FOCUS,aVa6k3PRl5Q,30,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE GIFTS,8ArggKrSSwk,30,0,1,0,0,1,1,0,0,1
GOV/VA MCAULIFFE GIFTS,8ArggKrSSwk,30,0,1,0,0,1,1,0,0,1
GOV/VA MCAULIFFE GIFTS,8ArggKrSSwk,30,0,0,0,1,1,1,0,0,1
GOV/VA MCAULIFFE GIFTS,8ArggKrSSwk,30,0,1,0,0,1,1,0,0,1
GOV/VA MCAULIFFE GIFTS,8ArggKrSSwk,30,0,1,0,0,1,1,0,0,1
GOV/VA MCAULIFFE KATHERINE WADDELL,yHmGOfZ1J9A,30,0,0,0,1,1,0,1,0,0
GOV/VA MCAULIFFE KATHERINE WADDELL,yHmGOfZ1J9A,30,0,0,0,1,1,0,1,0,0
GOV/VA MCAULIFFE KATHERINE WADDELL,yHmGOfZ1J9A,30,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE KATHERINE WADDELL,yHmGOfZ1J9A,30,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE KATHERINE WADDELL,yHmGOfZ1J9A,30,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE SESSOMS 15,OZAJTH3DbPE,15,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE SESSOMS 15,OZAJTH3DbPE,15,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE SESSOMS 15,OZAJTH3DbPE,15,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE SESSOMS 15,OZAJTH3DbPE,15,0,0,0,1,1,0,1,0,0
GOV/VA MCAULIFFE SESSOMS 15,OZAJTH3DbPE,15,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE SHIRLEY KEENE 60,gaZX_hLkmaY,60,0,1,1,0,1,0,0,1,1
GOV/VA MCAULIFFE SHIRLEY KEENE 60,gaZX_hLkmaY,60,0,0,0,1,1,0,0,1,1
GOV/VA MCAULIFFE SHIRLEY KEENE 60,gaZX_hLkmaY,60,0,1,0,0,1,0,0,1,1
GOV/VA MCAULIFFE SHIRLEY KEENE 60,gaZX_hLkmaY,60,0,0,1,0,0,0,0,1,1
GOV/VA MCAULIFFE SHIRLEY KEENE 60,gaZX_hLkmaY,60,0,0,0,1,1,0,0,1,1
GOV/VA MCAULIFFE YOUNGEST OF FOUR,EmM_Y6uUCPg,30,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE YOUNGEST OF FOUR,EmM_Y6uUCPg,30,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE YOUNGEST OF FOUR,EmM_Y6uUCPg,30,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE YOUNGEST OF FOUR,EmM_Y6uUCPg,30,0,0,1,0,0,0,1,0,0
GOV/VA MCAULIFFE YOUNGEST OF FOUR,EmM_Y6uUCPg,30,0,0,1,0,0,0,1,0,0
GOV/VT BROCK SHUMLIN HEALTHCARE,8JA0_WfRBQU,30,0,1,0,1,1,0,1,1,1
GOV/VT BROCK SHUMLIN HEALTHCARE,8JA0_WfRBQU,30,0,1,0,0,1,0,1,1,1
GOV/VT BROCK SHUMLIN HEALTHCARE,8JA0_WfRBQU,30,0,1,0,0,1,0,1,1,1
GOV/VT BROCK SHUMLIN HEALTHCARE,8JA0_WfRBQU,30,0,1,0,0,1,0,1,1,1
GOV/VT BROCK SHUMLIN HEALTHCARE,8JA0_WfRBQU,30,0,1,0,0,1,0,1,1,1
GOV/VT BROCK THE VERMONT WAY,Auv1qwQd7gg,30,0,1,0,0,1,1,1,0,1
GOV/VT BROCK THE VERMONT WAY,Auv1qwQd7gg,30,0,1,0,0,1,1,1,0,1
GOV/VT BROCK THE VERMONT WAY,Auv1qwQd7gg,30,0,1,0,0,1,1,1,0,1
GOV/VT BROCK THE VERMONT WAY,Auv1qwQd7gg,30,0,1,0,0,1,1,1,0,1
GOV/VT BROCK THE VERMONT WAY,Auv1qwQd7gg,30,0,1,0,0,1,1,1,0,1
GOV/WA INSLEE PROTECT OUR PENSIONS,jncJUnpdI8Y,30,0,0,0,1,1,1,0,0,0
GOV/WA INSLEE PROTECT OUR PENSIONS,jncJUnpdI8Y,30,0,0,1,0,0,1,0,0,0
GOV/WA INSLEE PROTECT OUR PENSIONS,jncJUnpdI8Y,30,0,0,1,0,0,1,0,0,0
GOV/WA INSLEE PROTECT OUR PENSIONS,jncJUnpdI8Y,30,0,0,1,0,0,1,0,0,0
GOV/WA INSLEE PROTECT OUR PENSIONS,jncJUnpdI8Y,30,0,0,1,0,0,1,0,0,0
GOV/WI BURKE ERIN FORREST 15,yNcspJIpSKM,15,0,1,0,0,1,0,1,0,1
GOV/WI BURKE ERIN FORREST 15,yNcspJIpSKM,15,0,0,0,1,1,0,1,0,1
GOV/WI BURKE ERIN FORREST 15,yNcspJIpSKM,15,1,0,0,0,0,0,1,0,1
GOV/WI BURKE ERIN FORREST 15,yNcspJIpSKM,15,0,0,0,1,1,0,1,0,1
GOV/WI BURKE ERIN FORREST 15,yNcspJIpSKM,15,0,1,0,0,1,0,1,0,1
GOV/WI BURKE FAIRYTALE AD,iAoq7ldS8i0,30,0,1,1,0,1,0,0,0,1
GOV/WI BURKE FAIRYTALE AD,iAoq7ldS8i0,30,0,1,0,0,1,0,0,0,1
GOV/WI BURKE FAIRYTALE AD,iAoq7ldS8i0,30,0,1,1,0,1,0,0,0,1
GOV/WI BURKE FAIRYTALE AD,iAoq7ldS8i0,30,0,0,1,0,0,0,0,0,1
GOV/WI BURKE FAIRYTALE AD,iAoq7ldS8i0,30,0,0,1,1,1,0,0,0,1
HOUSE/AR02 HAYS CATERPILLAR,OPsrE_rKl2E,30,0,0,1,0,0,0,1,0,0
HOUSE/AR02 HAYS CATERPILLAR,OPsrE_rKl2E,30,0,0,1,0,0,0,1,0,0
HOUSE/AR02 HAYS CATERPILLAR,OPsrE_rKl2E,30,0,0,1,0,0,0,1,0,0
HOUSE/AR02 HAYS CATERPILLAR,OPsrE_rKl2E,30,0,0,1,0,0,0,1,0,0
HOUSE/AR02 HAYS CATERPILLAR,OPsrE_rKl2E,30,0,0,1,0,0,0,1,0,0
HOUSE/AR02 HAYS FRENCH HILL'S BEST INVESTMENT,eUCv_jCSMwc,30,0,0,0,1,1,0,1,0,1
HOUSE/AR02 HAYS FRENCH HILL'S BEST INVESTMENT,eUCv_jCSMwc,30,0,1,0,0,1,0,1,0,1
HOUSE/AR02 HAYS FRENCH HILL'S BEST INVESTMENT,eUCv_jCSMwc,30,0,0,0,1,1,0,1,0,1
HOUSE/AR02 HAYS FRENCH HILL'S BEST INVESTMENT,eUCv_jCSMwc,30,0,1,0,0,1,0,1,0,1
HOUSE/AR02 HAYS FRENCH HILL'S BEST INVESTMENT,eUCv_jCSMwc,30,0,1,0,1,1,0,1,0,1
HOUSE/AR04 WITT LED THE RESPONSE,6ng8ttq5HqY,30,0,0,1,0,0,0,1,0,0
HOUSE/AR04 WITT LED THE RESPONSE,6ng8ttq5HqY,30,0,0,1,1,1,0,1,0,0
HOUSE/AR04 WITT LED THE RESPONSE,6ng8ttq5HqY,30,0,0,1,0,0,0,1,0,0
HOUSE/AR04 WITT LED THE RESPONSE,6ng8ttq5HqY,30,0,0,1,0,0,0,1,0,0
HOUSE/AR04 WITT LED THE RESPONSE,6ng8ttq5HqY,30,0,0,0,1,1,0,1,0,0
HOUSE/AZ01 KIRKPATRICK NEWSPAPERS AGREE,aeS05avHDs0,30,0,0,1,0,0,1,0,0,1
HOUSE/AZ01 KIRKPATRICK NEWSPAPERS AGREE,aeS05avHDs0,30,0,0,1,1,1,1,0,0,1
HOUSE/AZ01 KIRKPATRICK NEWSPAPERS AGREE,aeS05avHDs0,30,0,1,1,0,1,1,0,0,1
HOUSE/AZ01 KIRKPATRICK NEWSPAPERS AGREE,aeS05avHDs0,30,0,1,0,0,1,1,0,0,1
HOUSE/AZ01 KIRKPATRICK NEWSPAPERS AGREE,aeS05avHDs0,30,0,1,1,0,1,1,0,0,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,izTPOq8klxE,30,0,0,1,0,0,0,1,0,0
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,izTPOq8klxE,30,0,0,1,0,0,0,1,0,0
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,izTPOq8klxE,30,0,0,1,0,0,0,1,0,0
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,izTPOq8klxE,30,0,0,1,0,0,0,1,0,0
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,izTPOq8klxE,30,0,0,1,0,0,0,1,0,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,0OD90PfCLJU,30,0,1,0,0,1,0,1,0,1
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,0OD90PfCLJU,30,0,1,0,0,1,0,1,0,1
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,0OD90PfCLJU,30,0,1,0,0,1,0,1,0,1
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,0OD90PfCLJU,30,0,1,0,1,1,0,1,0,1
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,0OD90PfCLJU,30,0,1,0,0,1,0,1,0,1
HOUSE/AZ09 ROGERS SERVED,WYROWlwLASk,30,0,0,1,0,0,0,1,0,1
HOUSE/AZ09 ROGERS SERVED,WYROWlwLASk,30,0,0,1,0,0,0,1,0,1
HOUSE/AZ09 ROGERS SERVED,WYROWlwLASk,30,0,0,1,0,0,0,1,0,1
HOUSE/AZ09 ROGERS SERVED,WYROWlwLASk,30,0,0,1,0,0,0,1,0,1
HOUSE/AZ09 ROGERS SERVED,WYROWlwLASk,30,0,0,1,0,0,0,1,0,1
HOUSE/AZ09 SINEMA ALL VOTING,me83ufLN2nM,30,0,0,1,0,0,0,1,1,1
HOUSE/AZ09 SINEMA ALL VOTING,me83ufLN2nM,30,0,0,1,0,0,0,1,1,1
HOUSE/AZ09 SINEMA ALL VOTING,me83ufLN2nM,30,0,0,1,0,0,0,1,1,1
HOUSE/AZ09 SINEMA ALL VOTING,me83ufLN2nM,30,0,0,1,0,0,0,1,1,1
HOUSE/AZ09 SINEMA ALL VOTING,me83ufLN2nM,30,0,0,1,0,0,0,1,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,vSZXNoa6X5o,30,0,0,1,0,0,0,1,0,0
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,vSZXNoa6X5o,30,0,0,1,0,0,0,1,0,0
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,vSZXNoa6X5o,30,0,0,1,0,0,0,1,0,0
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,vSZXNoa6X5o,30,0,0,1,0,0,0,1,0,0
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,vSZXNoa6X5o,30,0,0,1,0,0,0,1,0,0
HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER,G3cJJN1br2o,30,0,0,1,0,0,0,1,1,0
HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER,G3cJJN1br2o,30,0,0,1,0,0,0,1,1,0
HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER,G3cJJN1br2o,30,0,0,1,0,0,0,1,1,0
HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER,G3cJJN1br2o,30,0,0,1,0,0,0,1,1,0
HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER,G3cJJN1br2o,30,0,0,1,0,0,0,1,1,0
HOUSE/CA09 MCNERNEY GILL NEVER HELD A FULL TIME JOB,VLL7Eck2HME,30,0,1,0,0,1,0,1,0,1
HOUSE/CA09 MCNERNEY GILL NEVER HELD A FULL TIME JOB,VLL7Eck2HME,30,0,0,1,0,0,0,1,0,1
HOUSE/CA09 MCNERNEY GILL NEVER HELD A FULL TIME JOB,VLL7Eck2HME,30,0,1,1,0,1,0,1,0,1
HOUSE/CA09 MCNERNEY GILL NEVER HELD A FULL TIME JOB,VLL7Eck2HME,30,0,1,0,0,1,0,1,0,1
HOUSE/CA09 MCNERNEY GILL NEVER HELD A FULL TIME JOB,VLL7Eck2HME,30,0,0,0,1,1,0,1,0,1
HOUSE/CA09 MCNERNEY WHOA,mfK1J62rNZI,30,0,1,0,0,1,1,0,0,1
HOUSE/CA09 MCNERNEY WHOA,mfK1J62rNZI,30,0,1,0,0,1,1,0,0,1
HOUSE/CA09 MCNERNEY WHOA,mfK1J62rNZI,30,0,1,0,0,1,1,0,0,1
HOUSE/CA09 MCNERNEY WHOA,mfK1J62rNZI,30,0,1,0,0,1,1,0,0,1
HOUSE/CA09 MCNERNEY WHOA,mfK1J62rNZI,30,0,1,0,0,1,1,0,0,1
HOUSE/CA17 HONDA BILLIONAIRES,TcBaIiK8je4,30,0,1,0,0,1,1,0,1,1
