"creative","uid"
"HOUSE/RI01 DOHERTY CICILLINE THE TRUTH ABOUT","NoChannel"
"HOUSE/RI01 DOHERTY WASHINGTON'S GOTTEN SO BAD","NoChannel"
"HOUSE/RI02 COLLINS GREEN ENERGY FUTURE","NoChannel"
"HOUSE/RI02 COLLINS MIND OF SCIENTIST","NoChannel"
"HOUSE/RI02 COLLINS MORE IMPORTANT THAN THE DEFICIT","NoChannel"
"HOUSE/RI02 LANGEVIN&RIDSC RILEY WHO IS","F2CM15XfXNI"
"HOUSE/RI02 LANGEVIN HE LISTENS TO US","lb4m3nIJEKo"
"HOUSE/RI02 RILEY LANGEVIN WHAT POLITICIAN","Rx47lu2EnbY"
"HOUSE/RI02 RILEY LESS WATCHING MORE DOING","NoMatch"
"HOUSE/RI02 RILEY RHODOPOLY","hUyCe1pwVoE"
"HOUSE/RI02 RILEY WASHINGTON WASTING FUTURE","dVL_d8BCwK4"
"HOUSE/SC01 SCOTT TWO YEARS AGO","NoChannel"
"HOUSE/SD01 NOEM GRANDMA","FiT4YSmJjDU"
"HOUSE/SD01 NOEM IS A FIGHTER","3sj8gc5h92I"
"HOUSE/SD01 NOEM NATIONAL DEBT","NoMatch"
"HOUSE/SD01 NOEM TRASH DAY","GUJE9RdAXxY"
"HOUSE/SD01 NOEM VARILEK DOESN'T TELL YOU","NoMatch"
"HOUSE/SD01 NOEM VARILEK FALSE ATTACKS","NoMatch"
"HOUSE/SD01 NOEM VARILEK LIES AND DISTORTIONS","NoMatch"
"HOUSE/SD01 NOEM VARILEK LIES AND DISTORTIONS REV","NoMatch"
"HOUSE/SD01 VARILEK&SDDP NOEM ON HER PHONE","FfI7cBxLs-I"
"HOUSE/SD01 VARILEK HERD","3OLprP9ysHI"
"HOUSE/SD01 VARILEK HORSESHOES","MVnLSfv6uYU"
"HOUSE/SD01 VARILEK NOEM'S NOT DOING HER CHORES","Vo_fUHaEeo0"
"HOUSE/SD01 VARILEK NOEM WE KNOW","ZeCLQPwgnMo"
"HOUSE/SD01 VARILEK PEOPLE ASK ME","EBI0LsrVEGA"
"HOUSE/SD01 VARILEK SHOW UP","89l6NbBW8cc"
"HOUSE/SD01 VARILEK WHAT THE HECK","NoMatch"
"HOUSE/TN03 FLEISCHMANN STARTING JANUARY FIRST","pdT0XmZ6tcU"
"HOUSE/TN03 HEADRICK END DC GRIDLOCK","NoMatch"
"HOUSE/TN03 HEADRICK EXTREMELY IMPORTANT","lIBvRAs4cr4"
"HOUSE/TN04 DESJARLAIS DOES WHAT HE SAYS","7QscQwyNXJ0"
"HOUSE/TN04 DESJARLAIS STEWART OBAMACARE GREAT","NoMatch"
"HOUSE/TN04 DESJARLAIS STEWART RECYCLED GARBAGE","NoMatch"
"HOUSE/TN04 STEWART&DCCC DESJARLAIS UNDISPUTED FACTS","NoMatch"
"HOUSE/TN04 STEWART CONGRESS IS A MESS","nlm-tcI6_9s"
"HOUSE/TN04 STEWART NATIONAL AND LOCAL HEADLINES","kL3naUCLT2Q"
"HOUSE/TN09 COHEN KEEP GOIN'","VRWrUaY_D3o"
"HOUSE/TN09 COHEN KEEP GOIN' CARS JOBS WOMEN HEALTHCARE","RzAq-kuFtu4"
"HOUSE/TN09 COHEN KEEP GOIN' EDUCATION NAACP","orY4pU9tFpo"
"HOUSE/TN09 COHEN KEEP GOIN' FOR WOMEN","ulRQVkHJtms"
"HOUSE/TN09 COHEN KEEP GOIN' REV","HO245bcBsKA"
"HOUSE/TN09 FLINN COHEN YOU HAD YOUR CHANCE","QfC4uTQxUDQ"
"HOUSE/TN09 FLINN DEBATE","NoMatch"
"HOUSE/TN09 FLINN OUR NEIGHBORS KNOW","tW9PWiGPhFQ"
"HOUSE/TN09 FLINN SCRAP IRON","RPSqIN5zWfo"
"HOUSE/TN09 FLINN WHERE'S COHEN","vvSSJsl8D44"
"HOUSE/TX15 HINOJOSA WHY BE A CONGRESSMAN","8iAdDiBWTq4"
"HOUSE/TX16 CARRASCO RESPONSIBILITY","NoMatch"
"HOUSE/TX23 CANSECO IT'S ALL FALSE","DHjqrpGymdQ"
"HOUSE/TX23 CANSECO POWERED BY ENERGY","LUuzWq45NK0"
"HOUSE/TX23 CANSECO RACE FOR CONGRESS","tgK1tkH9UpE"
"HOUSE/TX23 CANSECO SERIOUS CROSSROADS","vyejfFjqiYg"
"HOUSE/TX23 GALLEGO&DCCC CANSECO NO TO COMBAT PAY","B_eBnf36fTE"
"HOUSE/TX23 GALLEGO CANSECO'S WRONG CHOICES","TToI5xWCVIg"
"HOUSE/TX23 GALLEGO SACRIFICE","ZNfDTlI6miU"
"HOUSE/TX25 WILLIAMS THE FUTURE OF AMERICA","g0zAGLm8_Z8"
"HOUSE/TX27 BALDWIN ARE YOU LIKE ME 15","NoChannel"
"HOUSE/TX27 BALDWIN WE HEARD YOU LOUD AND CLEAR","NoChannel"
"HOUSE/TX27 BALDWIN WE HEARD YOU LOUD AND CLEAR 60","NoChannel"
"HOUSE/TX27 FARENTHOLD I'VE BEEN FIGHTING","NoChannel"
"HOUSE/TX27 FARENTHOLD OBAMA AGAINST TEXAS JOBS","NoChannel"
"HOUSE/TX27 MEZA-HARRISON PEOPLE FIRST","NoChannel"
"HOUSE/TX28 CUELLAR MY JOB","tHr_BYOTC3A"
"HOUSE/TX28 CUELLAR VOTE FOR","Nk2UEWcj7lY"
"HOUSE/TX34 PUENTE-BRADSHAW MY MOTHER","js5I6SSCO54"
"HOUSE/UT04 LOVE&NRCC IS DIFFERENT","NoMatch"
"HOUSE/UT04 LOVE FIRST","NoMatch"
"HOUSE/UT04 LOVE MATHESON CHANGED","NoMatch"
"HOUSE/UT04 LOVE MATHESON STANDS WITH OBAMA","NoMatch"
"HOUSE/UT04 LOVE MATHESON WRONG ON TAX RECORD","ULcinFWGclQ"
"HOUSE/UT04 LOVE MITT ROMNEY","JtFiVg0jAk8"
"HOUSE/UT04 LOVE MUCH AT STAKE","ys_FSTGh4a0"
"HOUSE/UT04 LOVE MUDSLINGING","NoMatch"
"HOUSE/UT04 LOVE REALLY JIM","NoMatch"
"HOUSE/UT04 LOVE RECKLESS","NoMatch"
"HOUSE/UT04 LOVE ROMNEY IS CALLING","vZKxFz2MZWE"
"HOUSE/UT04 MATHESON I'M A REPUBLICAN","AKwIIAa8e1c"
"HOUSE/UT04 MATHESON I'VE LEARNED","sg9Wn4l8AZQ"
"HOUSE/UT04 MATHESON LOVE DID RAISE TAXES","NoMatch"
"HOUSE/UT04 MATHESON LOVE GAMBLE YOUR RETIREMENT","NoMatch"
"HOUSE/UT04 MATHESON LOVE ON EDUCATION","h7PTC0kSE6s"
"HOUSE/UT04 MATHESON NORMA","8-GKedv0ksw"
"HOUSE/UT04 MATHESON OLD SAYING","NoMatch"
"HOUSE/UT04 MATHESON PENNY SAVED PENNY EARNED","lfAskJcxaDI"
"HOUSE/VA02 HIRSCHBIEL ACCOUNTABLE","Sb2S12lcjKk"
"HOUSE/VA02 HIRSCHBIEL MARK WARNER ENDORSEMENT","HporDcWBDNA"
"HOUSE/VA02 HIRSCHBIEL PERSONAL ATTACKS","RctILbSwPqw"
"HOUSE/VA02 HIRSCHBIEL PROUD TO BE A TEACHER","NoMatch"
"HOUSE/VA02 HIRSCHBIEL RAISE YOUR KIDS RIGHT","NoMatch"
"HOUSE/VA02 HIRSCHBIEL RIGELL DOESN'T SHARE MY VALUES","YloNXLyEKJE"
"HOUSE/VA02 HIRSCHBIEL TEACHER","J72gLvvsOnk"
"HOUSE/VA02 RIGELL&NRCC 65 YEARS AFTER","mDETEiEqDj8"
"HOUSE/VA02 RIGELL DEFINING MOMENT FOR OUR COUNTRY","J_wjHdSR2W4"
"HOUSE/VA02 RIGELL HIRSCHBIEL A SHAME","JJIassHFztw"
"HOUSE/VA02 RIGELL HIRSCHBIEL WANTED HONEST CAMPAIGN","NoMatch"
"HOUSE/VA02 RIGELL JERSEY","iRPJLngbv8Y"
"HOUSE/VA02 RIGELL PERFORMANCE REVIEW","57I5WC7Ypgs"
"HOUSE/VA02 RIGELL THE BIG DIFFERENCE","NoMatch"
"HOUSE/VA04 FORBES LAND OF THE FREE","HJhqnLxeJsc"
"HOUSE/VA05 DOUGLASS DEALT WITH THE TOUGHEST PROBLEMS","NoChannel"
"HOUSE/VA05 DOUGLASS URANIUM DUST","NoChannel"
"HOUSE/VA05 DOUGLASS URANIUM PARTICLES","NoChannel"
"HOUSE/VA05 HURT DOUGLASS HOW MANY MORE","mucydDFCb4o"
"HOUSE/VA05 HURT DOUGLASS SAID IT WORKED","MErmf4fHXZE"
"HOUSE/VA05 HURT DOUGLASS TOLD US","1WHVpTm5k1o"
"HOUSE/VA05 HURT WILL FIGHT WASHINGTON","5EplQcpi0gA"
"HOUSE/VA06 GOODLATTE HAS LISTENED TO US","NoChannel"
"HOUSE/VA06 GOODLATTE WENT THE EXTRA MILE","NoChannel"
"HOUSE/VA07 CANTOR&RPV SMALL BUSINESS","NoChannel"
"HOUSE/VA07 CANTOR&RPV WAYNE RUIN HIM","NoChannel"
"HOUSE/VA07 CANTOR POWELL RUIN","NoChannel"
"HOUSE/VA07 CANTOR SMALL BUSINESS","NoChannel"
"HOUSE/VA07 CANTOR SMALL BUSINESS SPEAKS","NoChannel"
"HOUSE/VA07 CANTOR TIRED OF ALL THOSE POLITICAL ADS","NoChannel"
"HOUSE/VA07 POWELL EVER WONDER","XVAddLcY3ow"
"HOUSE/VA07 POWELL WHAT'S HE DOING HERE","rviJr3aRpNg"
"HOUSE/VA09 FLACCAVENTO&DPV MEET THE REAL MORGAN GRIFFITH","KsqsJ88UPB4"
"HOUSE/VA09 FLACCAVENTO TOM BOYLE","FTHw0RbcaXU"
"HOUSE/VA09 GRIFFITH IT'S ABOUT PROTECTING","ah59qTpAcTk"
"HOUSE/WA01 DELBENE FOOTBALL REFEREE","gW4es9KUuGM"
"HOUSE/WA01 DELBENE KOSTER'S EXTREME RECORD","NoMatch"
"HOUSE/WA01 DELBENE SOME PEOPLE ARE EXTREME","_Tjl3xCu4-A"
"HOUSE/WA03 HERRERA-BEUTLER MY STORY","ukbR46IUAIY"
"HOUSE/WA03 HERRERA-BEUTLER SOME PEOPLE ASK ME","b_mxW0gKPMY"
"HOUSE/WA03 HERRERA-BEUTLER WOULDN'T STAND FOR IT","i_jJXcJrL9g"
"HOUSE/WA05 COWAN MCMORRIS-RODGERS PARTY BEFORE PEOPLE 15","NoChannel"
"HOUSE/WA05 COWAN MCMORRIS-RODGERS REFUSING","NoChannel"
"HOUSE/WA05 COWAN TIME TO PUT PEOPLE BACK TO WORK 15","NoChannel"
"HOUSE/WA05 COWAN WHERE'S CATHY","NoChannel"
"HOUSE/WA05 MCMORRIS-RODGERS DEBT","l8HIa9tmjFg"
"HOUSE/WA05 MCMORRIS-RODGERS FAIRCHILD","0wewW6EdsVw"
"HOUSE/WA05 MCMORRIS-RODGERS MEANS SOMETHING SPECIAL","63LM7-ba6h0"
"HOUSE/WA05 MCMORRIS-RODGERS SERVICE MEMBERS","Kk0VVI8Z8QA"
"HOUSE/WA06 DRISCOLL A BUSINESSMAN DAD AND MARINE","NoChannel"
"HOUSE/WA06 DRISCOLL VOLUNTEER FOR COMBAT DUTY","NoChannel"
"HOUSE/WA06 DRISCOLL WASHINGTON NEEDS A REPUBLICAN","NoChannel"
"HOUSE/WA06 KILMER LEADING BY EXAMPLE","NoChannel"
"HOUSE/WA06 KILMER TWO OF THE REASONS","NoChannel"
"HOUSE/WA08 REICHERT LOOKING FOR ANSWERS","NoMatch"
"HOUSE/WA10 HECK BUSINESS THE WAY CONGRESS DOES","8lQEoEVT9qY"
"HOUSE/WA10 HECK TUG OF WAR","pYvYRgx_65g"
"HOUSE/WI01 RYAN AMERICA HAS A CHOICE","1J9KyqdcEIc"
"HOUSE/WI01 RYAN CHOICE OF TWO FUTURES","1niuXXPILuI"
"HOUSE/WI01 RYAN CRITICAL CHOICE","WS-M7uYQwwo"
"HOUSE/WI01 RYAN PATIENT CENTERED SOLUTIONS","h56PTRJ_McU"
"HOUSE/WI01 RYAN RIGHT SOLUTIONS","ikOUNSvaVI0"
"HOUSE/WI01 RYAN TAX CODE A MESS","Heynm6KpvJo"
"HOUSE/WI01 RYAN TELL OUR KIDS","0-UFfmAhusE"
"HOUSE/WI01 RYAN WHAT ABOUT OUR DEBT","vqioKjdS8z0"
"HOUSE/WI01 ZERBAN CARES ABOUT THE PEOPLE","NoChannel"
"HOUSE/WI01 ZERBAN RYAN DANGEROUS","NoChannel"
"HOUSE/WI08 RIBBLE&RNC LET'S TRY THE FACTS","NoMatch"
"HOUSE/WI08 RIBBLE AMERICAN MANUFACTURING","5ALHyl5OEv0"
"HOUSE/WI08 RIBBLE EVERY AMERICAN HAS THEIR DREAM","-Mh8eu77F70"
"HOUSE/WI08 RIBBLE FULL SCALE WAR OVER MEDICARE","HxullQ0MrZM"
"HOUSE/WI08 RIBBLE HOW BAD IS POLITICS GOTTEN","5vpGkwiBGqc"
"HOUSE/WI08 RIBBLE NO BUDGET NO PAY","5F8xd-V6ez0"
"HOUSE/WI08 RIBBLE SOLVING PROBLEMS","IgB0rc0uW38"
"HOUSE/WI08 WALL&DCCC DID YOU KNOW","NoMatch"
"HOUSE/WI08 WALL&DCCC RIBBLE FALSLEY ATTACKING","NoMatch"
"HOUSE/WI08 WALL IT'S A SHAME","yhnygIAO9Ts"
"HOUSE/WI08 WALL IT'S A SHAME REV","NoMatch"
"HOUSE/WI08 WALL RIBBLE FULL SCALE WAR OVER MEDICARE","_h7un69zax8"
"HOUSE/WI08 WALL WHOLE MILK AND SKIM","q3Sjbcd4teM"
"HOUSE/WV03 RAHALL&DCCC SNUFFER WHOSE SIDE","NoMatch"
"HOUSE/WV03 RAHALL COAL MINING JOBS","-Fom9f70o40"
"HOUSE/WV03 RAHALL FIGHTS FOR WEST VIRGINIA","MQiUg-Mzb-4"
"HOUSE/WV03 RAHALL FRIENDS","3E3QX3tWY2A"
"HOUSE/WV03 RAHALL OPPOSED OBAMA EPA","MJH0eTlnM9M"
"HOUSE/WV03 RAHALL SNUFFER'S CAMPAIGN","uXKxxq85SJk"
"HOUSE/WV03 RAHALL SNUFFER TOOK MONEY","GkKcei5P3rI"
"HOUSE/WV03 SNUFFER HAMMER","vSnnp5N8htU"
"HOUSE/WV03 SNUFFER RAHALL OBAMA WAR ON COAL","Vj6paT2QrQs"
"HOUSE/WV03 SNUFFER THAT'S ELEANOR","NoMatch"
"USSEN/AZ CARDON HARD WORK","NoChannel"
"USSEN/AZ CARMONA ANSWERED THE CALL","6sRIJWgSlSA"
"USSEN/AZ CARMONA BOTH GOT IT WRONG","q4RMaBiDefo"
"USSEN/AZ CARMONA MCCAIN & KYL TESTIMONIALS","IE8WWcs3QG0"
"USSEN/AZ CARMONA PROBLEM SOLVING","KNJ3dewVOMk"
"USSEN/AZ CARMONA PUT ASIDE POLITICS","i88nHL2Vt2o"
"USSEN/AZ CARMONA STRAIGHT TALKER","nARH9wSx8Oo"
"USSEN/AZ CARMONA THE BEST EDUCATION","NoMatch"
"USSEN/AZ DSCC&CARMONA KATHLEEN BRENNAN","jwbve7xcvF8"
"USSEN/AZ FLAKE ANOTHER OBAMA BIG SPENDER","NoMatch"
"USSEN/AZ FLAKE IT'S A CHOICE","Y3rRJTyeEVs"
"USSEN/AZ FLAKE JUST LIKE OBAMA","NoMatch"
"USSEN/AZ FLAKE LIBERAL BIG GOVERNMENT AGENDA","ZCXbJw6O_X4"
"USSEN/AZ FLAKE MCCAIN & KYL ENDORSEMENT","k16Ky6soFuo"
"USSEN/AZ FLAKE OBAMA'S MAN IN ARIZONA","Wau6Z_SKzI8"
"USSEN/AZ FLAKE OBAMA'S RUBBER STAMP","NoMatch"
"USSEN/AZ NRSC&FLAKE ANGER ISSUES","NoMatch"
"USSEN/AZ NRSC&FLAKE APRIL WHITE","ZXQ7XBAD08o"
"USSEN/AZ NRSC&FLAKE TURNING POINT","Yz7u61zD384"
"USSEN/CA FEINSTEIN ALL OVER CALIFORNIA","L2vdPz5VrG4"
"USSEN/CT BYSIEWICZ TOO MUCH CORRUPTION","NoChannel"
"USSEN/CT MCMAHON ABSENTEE CONGRESSMAN","NoMatch"
"USSEN/CT MCMAHON ABSENTEE CONGRESSMAN 2","NoMatch"
"USSEN/CT MCMAHON ABSENTEE CONGRESSMAN 3","NoMatch"
"USSEN/CT MCMAHON ANOTHER LAWYER","NoMatch"
"USSEN/CT MCMAHON ANTI WOMEN","NoMatch"
"USSEN/CT MCMAHON ANTI WOMEN 2","NoMatch"
"USSEN/CT MCMAHON BEST FOR JOBS","NoMatch"
"USSEN/CT MCMAHON CAN'T BE BOUGHT","bsRq0h-qgto"
"USSEN/CT MCMAHON CAROLYN NAH","wDRSEDqh5to"
"USSEN/CT MCMAHON COMPARE THE CANDIDATES","NoMatch"
"USSEN/CT MCMAHON CONNECT THE DOTS","NoMatch"
"USSEN/CT MCMAHON CONNECTS WITH THE PEOPLE","qKvspCN3ntw"
"USSEN/CT MCMAHON DEFENSE CUTS","NoMatch"
"USSEN/CT MCMAHON FALSE NEGATIVE ADS","NoMatch"
"USSEN/CT MCMAHON FIGHTING FOR YOU","NoMatch"
"USSEN/CT MCMAHON FUNNY GUY","NoMatch"
"USSEN/CT MCMAHON GOTTEN US IN A MESS","dAFymoNZHDM"
"USSEN/CT MCMAHON GREEN STAMPS","NoMatch"
"USSEN/CT MCMAHON I AM A WOMAN","NoMatch"
"USSEN/CT MCMAHON ISN'T TELLING US THE TRUTH","NoMatch"
"USSEN/CT MCMAHON JOB INTERVIEW","NoMatch"
"USSEN/CT MCMAHON JOBLESS RATE MORE THAN DOUBLED","NoMatch"
"USSEN/CT MCMAHON JOBLESS RATE REV 2","upefBfpM2hE"
"USSEN/CT MCMAHON KIDDING","NoMatch"
"USSEN/CT MCMAHON KILLING US","NoMatch"
"USSEN/CT MCMAHON LYING TO YOU","NoMatch"
"USSEN/CT MCMAHON NOT TELLING THE TRUTH","NoMatch"
"USSEN/CT MCMAHON OBAMA SUPPORTERS","2-d5g0pwJws"
"USSEN/CT MCMAHON PATTERN","NoMatch"
"USSEN/CT MCMAHON REPRODUCTIVE RIGHTS","0WbiMlf5JrI"
"USSEN/CT MCMAHON SHOWED UP FOR HER JOB","NoMatch"
"USSEN/CT MURPHY BLUMENTHAL ENDORSEMENT","In7hpJmaY3k"
"USSEN/CT MURPHY BLUMENTHAL ENDORSEMENT REV","NoMatch"
"USSEN/CT MURPHY CLINTON ENDORSEMENT","NoMatch"
"USSEN/CT MURPHY CREATE THEIR OWN RULES","J_M69gmydec"
"USSEN/CT MURPHY DEMEANED WOMEN","YqzS7VeI_zI"
"USSEN/CT MURPHY DO AND SAY ANYTHING","HShhJZ0nyW4"
"USSEN/CT MURPHY IMAGE ISN' T REAL","kMSnjonDMSw"
"USSEN/CT MURPHY JOBS RECORD","qYsQ118aWsE"
"USSEN/CT MURPHY MAKING THINGS UP","NoMatch"
"USSEN/CT MURPHY MCMAHON HAD A PLAN","ETz8vpDIwcU"
"USSEN/CT MURPHY NEVER FOR US","NoMatch"
"USSEN/CT MURPHY NEWSPAPER ENDORSEMENTS","il2OUiw0B98"
"USSEN/CT MURPHY NOBODY HAS WORKED HARDER","NoMatch"
"USSEN/CT MURPHY OBAMA ENDORSEMENT","rNL7_WTBui0"
"USSEN/CT MURPHY ROOTED IN THE MIDDLE CLASS","01-9hCQenQw"
"USSEN/CT MURPHY THE DIFFERENCE","NoMatch"
"USSEN/DE CARPER PAID OFF","RhOISWq-7Ss"
"USSEN/DE PIRES SICK OF THESE PARTIES","NoChannel"
"USSEN/FL DSCC&NELSON EXTREMIST REPUBLICANS","NoMatch"
"USSEN/FL DSCC&NELSON MIDDLE CLASS","XBpdMudXSSs"
"USSEN/FL DSCC&NELSON OUT OF STATE BILLIONAIRES","NoMatch"
"USSEN/FL DSCC&NELSON OUT OF STATE BILLIONAIRES REV","91dtaCfcYOo"
"USSEN/FL DSCC&NELSON RULES ARE DIFFERENT FOR HIM","NoMatch"
"USSEN/FL MACK MEDICARE CUTS 15","NoChannel"
"USSEN/FL MACK POWER OF FREEDOM","NoChannel"
"USSEN/FL MACK PRISCILLA","NoChannel"
"USSEN/FL MACK SIGNIFICANT","NoChannel"
"USSEN/FL MACK VOTING LIBERAL 15","NoChannel"
"USSEN/FL NELSON&DSCC MEET CONNIE MACK IV","Hs2LGKdDPf4"
"USSEN/FL NELSON ABSENTEE CONGRESSMAN","NoMatch"
"USSEN/FL NELSON ALWAYS HAS ALWAYS WILL","NoMatch"
"USSEN/FL NELSON IN NO WAY QUALIFIED","Za8YcX5RLZA"
"USSEN/FL NELSON PERSPECTIVE","9JmNMccRgbg"
"USSEN/HI HIDP&HIRONO NOT BIPARTISAN","NoChannel"
"USSEN/HI HIRONO A GOOD EDUCATION","NGmD8jmVzS0"
"USSEN/HI HIRONO LINGLE SUPPORTING ROMNEY","hIsANI9bxe4"
"USSEN/HI HIRONO MISLEADING US AGAIN","8oSsTWSXFww"
"USSEN/HI HIRONO MITT ROMNEY","6LR1egXAeCI"
"USSEN/HI HIRONO NEGATIVE CAMPAIGN","XBhV8az6bLo"
"USSEN/HI HIRONO NEWSPAPER ENDORSEMENT","7ZIIZA-c-zM"
"USSEN/HI HIRONO NOT BIPARTISAN","NoMatch"
"USSEN/HI HIRONO OBAMA'S TORMENTOR","H6-sRNdaZIw"
"USSEN/HI HIRONO WE CAN DO BETTER","e0xqKxAv7jE"
"USSEN/HI LINGLE AMERICAN PROBLEMS","-33cIZzWwho"
"USSEN/HI LINGLE DEFENSE CUTS","CqUI0GkjlS4"
"USSEN/HI LINGLE DO THE MATH","NoMatch"
"USSEN/HI LINGLE GET THINGS DONE","NoMatch"
"USSEN/HI LINGLE LISTENING","NoMatch"
"USSEN/HI LINGLE NOT WHO I AM","NoMatch"
"USSEN/HI LINGLE PROTECT MEDICARE","NoMatch"
"USSEN/HI LINGLE PUTS PEOPLE FIRST","-2Lrao-0mJQ"
"USSEN/HI LINGLE REWRITE HISTORY","NoMatch"
"USSEN/HI LINGLE SOCIAL SECURITY AND MEDICARE","NoMatch"
"USSEN/HI LINGLE TEACHERS","NoMatch"
"USSEN/HI LINGLE ZERO","6VdLrpmGANk"
"USSEN/IN DONNELLY ANGRY","NoMatch"
"USSEN/IN DONNELLY BIPARTISANSHIP","3qzFMybdMT4"
"USSEN/IN DONNELLY COMMON SENSE MIDDLE","hXlav9oQbfQ"
"USSEN/IN DONNELLY COMPARE THE CANDIDATES","IcaTucJDZxI"
"USSEN/IN DONNELLY INFLICT ON US","t0Svy9ll0pI"
"USSEN/IN DONNELLY MOURDOCK'S WAY","II8w3MB8qiM"
"USSEN/IN DONNELLY MY WAY OR THE HIGHWAY","XjvU0kgH0io"
"USSEN/IN DONNELLY ROAD RAGE","I7Rq_x--_tM"
"USSEN/IN DONNELLY TEENAGERS AND RICHARD MOURDOCK","NoMatch"
"USSEN/IN DONNELLY TROUBLING PATTERN","NoMatch"
"USSEN/IN DONNELLY WATCHES EVERY PENNY","v_e1kBJNXbo"
"USSEN/IN INDCVC&DONNELLY HOOSIER COMMON SENSE","NoMatch"
"USSEN/IN MOURDOCK A CHOICE","Xe05zEO1XSU"
"USSEN/IN MOURDOCK BECKY SKILLMAN","bkxknh9pBk0"
"USSEN/IN MOURDOCK BETTER OFF","NoMatch"
"USSEN/IN MOURDOCK CHRYSLER BAILOUT","NoMatch"
"USSEN/IN MOURDOCK DISTORTED PERSONAL ATTACKS","POqoP5TLltU"
"USSEN/IN MOURDOCK GARBAGE ON TELEVISION","VmjZIPHNCRY"
"USSEN/IN MOURDOCK LIES AND DISTORTIONS","NoMatch"
"USSEN/IN MOURDOCK OBAMA-REID AGENDA","kSoarHs-1fU"
"USSEN/IN MOURDOCK PERFECTLY SYNCHRONIZED","NoMatch"
"USSEN/IN MOURDOCK REAL RECORD","NoMatch"
"USSEN/IN MOURDOCK ROMNEY ENDORSEMENT","pSMkRYZD7P0"
"USSEN/IN NRSC&MOURDOCK 2 PATHS","PRxAc7y8h6E"
"USSEN/IN NRSC&MOURDOCK PERFECTLY SYNCHRONIZED","NoMatch"
"USSEN/MA BROWN ASBESTOS CLAIMS","p53HYpTu7Jk"
"USSEN/MA BROWN ASBESTOS VICTIMS","uizzOZFy7Dk"
"USSEN/MA BROWN ASBESTOS VICTIMS 2","NoMatch"
"USSEN/MA BROWN BIPARTISAN SENATOR","qiq2130HAXI"
"USSEN/MA BROWN CAUGHT IN A LIE","QNY4HL81oIU"
"USSEN/MA BROWN DIDN'T HAVE IT EASY","xf2iAj8ljRE"
"USSEN/MA BROWN FISHING INDUSTRY","AWFcqZjE2Zs"
"USSEN/MA BROWN GAIL HUFF 3","AWuVw_n4NSs"
"USSEN/MA BROWN HERITAGE CLAIMS","d0xWBRNrDfw"
"USSEN/MA BROWN HIRED GUN","n-WlHW4Tj0c"
"USSEN/MA BROWN INSIDER TRADING","aExxgbIuGlU"
"USSEN/MA BROWN KEEP TAXES LOW","jhxNO_VWVFM"
"USSEN/MA BROWN KONNIE LUKES","99L5Ipiw7FA"
"USSEN/MA BROWN LAURIE MYERS","vycWApIe_zw"
"USSEN/MA BROWN NEGATIVE ATTACKS","_sl4Gz56YFQ"
"USSEN/MA BROWN PAUL WALSH","7wUQJTqGR3Y"
"USSEN/MA BROWN PAUL WALSH 2","UAp6tXNhTuU"
"USSEN/MA BROWN RAIDING MEDICARE","NoMatch"
"USSEN/MA BROWN RAY FLYNN ENDORSEMENT","ysTh7eQlCTw"
"USSEN/MA BROWN SPRINGFIELD TORNADOES","Q_GX1NtbD_k"
"USSEN/MA BROWN SUPPORTS WOMEN","5kUdnLx5n5Y"
"USSEN/MA BROWN THE CHOICE","w9CETXKuPoU"
"USSEN/MA BROWN THOMAS HUDNER","Si38w4LZscs"
"USSEN/MA BROWN TOUGH ON THE MIDDLE CLASS","07Pid6Am69I"
"USSEN/MA BROWN VOTE THE PERSON","waEOB6v76A8"
"USSEN/MA BROWN VOTE THE PERSON 60","otMMS-lrg2A"
"USSEN/MA BROWN WANTED TO GET AHEAD","NoMatch"
"USSEN/MA WARREN ATTACKING MY FAMILY","4oIVinDXzOw"
"USSEN/MA WARREN BUFFETT RULE","NoMatch"
"USSEN/MA WARREN CLEAR CHOICE","hcAql-GCCwI"
"USSEN/MA WARREN CORPORATE INTERESTS","U4PLPC75bco"
"USSEN/MA WARREN JUST ONE VOTE","L5kwaViRFWU"
"USSEN/MA WARREN MENINO ENDORSEMENT","ljXva87fDqc"
"USSEN/MA WARREN MESOTHELIOMA VICTIMS","eUDWjSNyTLI"
"USSEN/MA WARREN MESOTHELIOMA VICTIMS 2","mn9G7ZS_2Uo"
"USSEN/MA WARREN MY FIGHT IS FOR YOU","EOgpW0CxKJo"
"USSEN/MA WARREN NOT A BAD GUY 60","l7EIBzZ6sxo"
"USSEN/MA WARREN REAL FIGHTER","W8Lp66KISa4"
"USSEN/MA WARREN REALLY DISAPPOINTED","NoMatch"
"USSEN/MA WARREN SAME OLD BATTLES","gDPcAbqCdR8"
"USSEN/MA WARREN STANDS UP FOR PEOPLE","OWoy9wceXl4"
"USSEN/MA WARREN STUDENT LOAD DEBT","1sLZD0Ne6_8"
"USSEN/MA WARREN SYSTEM IS RIGGED","NoMatch"
"USSEN/MA WARREN THE PEOPLE'S SIDE","OIm351vhQmU"
"USSEN/MA WARREN WOMEN'S ISSUES","GNpDs2o_J8c"
"USSEN/MD BONGINO OUT OF CONTROL","NoChannel"
"USSEN/MD BONGINO OUT OF CONTROL REV","NoChannel"
"USSEN/MD BONGINO TIME FOR REAL CHANGE IS NOW 90","NoChannel"
